Beer_1,Beer_2,Beer_3,Beer_4,Beer_5,Beer_6,Beer_7,Beer_8,Beer_9,Beer_10,Beer_11,Beer_12,Beer_13
10,2,6,7,7,5,6,8,5,5,5,3,3
4,7,,9,6,6,4,10,6,9,4,5,4
6,2,5,7,7,4,8,4,10,5,6,6,4
4,6,7,7,8,5,,4,9,7,9,5,3
10,1,5,7,7,5,4,1,5,5,5,4,4
7,3,10,6,0,9,8,7,9,4,5,7,9
7,3,9,7,3,9,9,7,9,2,3,7,10
5,3,5,8,8,3,6,5,5,3,5,5,5
7,3,6,7,9,8,10,8,9,8,8,4,3
5,6,4,8,6,5,4,8,7,8,5,3,8
5,6,7,9,6,7,6,9,8,7,5,7,6
5,7.5,6,5,8,7,5,8.5,8,8.5,8.5,6,5
6,3,10,9,4,9,3,10,9,10,9,3,5
4,5,6,7,4,2,6,8,7,7,7,8,3
6,3,3,3,4,5,7,6,7,4,4,3,5
